id,descripcion,dominio,region,hub,nodo,trigger,b,r2,r_pearson,p,se_b,ci_lo,ci_hi,dw,n,year_min,year_max,significativo,rho_ar1,n_eff,se_infl,estimable,p_ar1,sig_ar1,sig_ar1_solo_gl,corregible
B036,Netherlands→Portugal 1900-2018,B,Europa_Occidental,Netherlands,Portugal,gradual,-0.1953,0.4279,-0.6542,0.0,0.0209,-0.2362,-0.1543,0.145,119,1900,2018,True,0.9275,4.48,5.156,True,0.1867203990055424,False,True,True
B037,Ireland→Netherlands 1913-2018,B,Europa_Occidental,Ireland,Netherlands,gradual,0.1647,0.2446,0.4945,0.0,0.0294,0.1071,0.2223,0.094,99,1913,2018,True,0.953,2.38,6.446,False,,False,False,True
B038,Luxembourg→Netherlands 1950-2018,B,Europa_Occidental,Luxembourg,Netherlands,gradual,0.0051,0.0032,0.0563,0.6459,0.011,-0.0165,0.0266,0.142,69,1950,2018,False,0.929,2.54,5.212,False,,False,False,True
B039,Switzerland→Belgium 1900-2018,B,Europa_Occidental,Switzerland,Belgium,gradual,0.058,0.2874,0.5361,0.0,0.0084,0.0415,0.0746,0.293,119,1900,2018,True,0.8535,9.41,3.557,True,0.09109641001994288,False,True,True
B040,Austria→Belgium 1900-2018,B,Europa_Occidental,Austria,Belgium,gradual,0.108,0.2331,0.4828,0.0,0.0181,0.0725,0.1435,0.311,119,1900,2018,True,0.8445,10.03,3.444,True,0.12127033092291248,False,True,True
B041,Belgium→Italy 1900-2018,B,Europa_Occidental,Belgium,Italy,gradual,-0.1788,0.571,-0.7556,0.0,0.0143,-0.2069,-0.1507,0.166,119,1900,2018,True,0.917,5.15,4.806,True,0.07629021129292424,False,True,True
B042,Belgium→Spain 1900-2018,B,Europa_Occidental,Belgium,Spain,gradual,-0.1627,0.4049,-0.6363,0.0,0.0182,-0.1984,-0.1269,0.104,119,1900,2018,True,0.948,3.18,6.121,True,0.3552330246842797,False,False,True
B043,Belgium→Portugal 1900-2018,B,Europa_Occidental,Belgium,Portugal,gradual,-0.2483,0.6276,-0.7922,0.0,0.0177,-0.2829,-0.2136,0.094,119,1900,2018,True,0.953,2.86,6.446,False,,False,False,True
B044,Ireland→Belgium 1913-2018,B,Europa_Occidental,Ireland,Belgium,gradual,0.1844,0.2875,0.5362,0.0,0.0295,0.1266,0.2422,0.027,99,1913,2018,True,0.9865,0.67,12.13,False,,False,False,True
B045,Luxembourg→Belgium 1950-2018,B,Europa_Occidental,Luxembourg,Belgium,gradual,0.0004,0.0,0.0035,0.9776,0.0133,-0.0257,0.0265,0.1,69,1950,2018,False,0.95,1.77,6.245,False,,False,False,True
B046,Switzerland→Austria 1900-2018,B,Europa_Occidental,Switzerland,Austria,gradual,-0.05,0.0539,-0.2322,0.0111,0.0194,-0.0879,-0.012,0.254,119,1900,2018,True,0.873,8.07,3.84,True,0.5268470902129228,False,True,True
B047,Switzerland→Italy 1900-2018,B,Europa_Occidental,Switzerland,Italy,gradual,-0.1208,0.3168,-0.5629,0.0,0.0164,-0.153,-0.0887,0.091,119,1900,2018,True,0.9545,2.77,6.554,False,,False,False,True
B048,Switzerland→Spain 1900-2018,B,Europa_Occidental,Switzerland,Spain,gradual,-0.1047,0.1879,-0.4335,0.0,0.0201,-0.1441,-0.0652,0.087,119,1900,2018,True,0.9565,2.65,6.706,False,,False,False,True
B049,Switzerland→Portugal 1900-2018,B,Europa_Occidental,Switzerland,Portugal,gradual,-0.1903,0.4494,-0.6704,0.0,0.0195,-0.2284,-0.1521,0.072,119,1900,2018,True,0.964,2.18,7.386,False,,False,False,True
B050,Ireland→Switzerland 1913-2018,B,Europa_Occidental,Ireland,Switzerland,gradual,0.1278,0.1709,0.4134,0.0,0.0286,0.0718,0.1839,0.039,99,1913,2018,True,0.9805,0.97,10.078,False,,False,False,True
B051,Luxembourg→Switzerland 1950-2018,B,Europa_Occidental,Luxembourg,Switzerland,gradual,0.0029,0.0008,0.0284,0.8169,0.0123,-0.0213,0.027,0.119,69,1950,2018,False,0.9405,2.12,5.711,False,,False,False,True
B052,Austria→Italy 1900-2018,B,Europa_Occidental,Austria,Italy,gradual,-0.0708,0.2385,-0.4884,0.0,0.0117,-0.0938,-0.0479,0.562,119,1900,2018,True,0.719,19.45,2.473,True,0.025275459604284803,True,True,True
B053,Austria→Spain 1900-2018,B,Europa_Occidental,Austria,Spain,gradual,-0.0547,0.0877,-0.2962,0.0011,0.0163,-0.0866,-0.0227,0.347,119,1900,2018,True,0.8265,11.3,3.245,True,0.3271383044173598,False,True,True
