id,descripcion,dominio,b,r2,p,n,significativo,fuente_real
B078,Russia→Romania 1960-2018,B,-0.3336,0.8196,0.0,59,True,True
B079,Ukraine→Romania 1973-2018,B,-0.4408,0.7065,0.0,40,True,True
B080,Russia→Bulgaria 1960-2018,B,0.0552,0.2385,0.0001,59,True,True
B081,Ukraine→Bulgaria 1973-2018,B,-0.1682,0.4523,0.0,40,True,True
B082,Russia→Ukraine 1973-2018,B,0.2199,0.6305,0.0,40,True,True
B083,Greece→Italy 1900-2018,B,0.0004,0.0,0.9783,119,False,True
B084,Turkey→Italy 1913-2018,B,0.073,0.102,0.0013,98,True,True
B085,Greece→Spain 1900-2018,B,0.0166,0.006,0.4027,119,False,True
B086,Spain→Turkey 1913-2018,B,-0.0684,0.0999,0.0015,98,True,True
B087,Greece→Portugal 1900-2018,B,-0.069,0.0992,0.0005,119,True,True
B088,Turkey→Portugal 1913-2018,B,-0.0126,0.0051,0.4864,98,False,True
B089,Greece→Turkey 1913-2018,B,-0.0854,0.1037,0.0012,98,True,True
B090,Canada→United States 1900-2018,B,0.1064,0.6824,0.0,119,True,True
B091,United States→Mexico 1900-2018,B,-0.0933,0.3686,0.0,119,True,True
B092,Canada→Mexico 1900-2018,B,0.0132,0.0123,0.2305,119,False,True
B093,Guatemala→Mexico 1920-2018,B,-0.2729,0.4862,0.0,99,True,True
B094,Mexico→Honduras 1920-2018,B,0.3827,0.7596,0.0,99,True,True
B095,Costa Rica→Mexico 1920-2018,B,-0.1045,0.4903,0.0,99,True,True
B096,Panama→Mexico 1906-2018,B,-0.1223,0.2534,0.0,113,True,True
B097,Cuba→Mexico 1902-2018,B,-0.3085,0.5813,0.0,117,True,True
B098,Guatemala→Honduras 1920-2018,B,0.1098,0.2701,0.0,99,True,True
B099,Costa Rica→Guatemala 1920-2018,B,0.1684,0.3547,0.0,99,True,True
B100,Panama→Guatemala 1920-2018,B,0.2214,0.2874,0.0,99,True,True
B101,Guatemala→Cuba 1920-2018,B,0.0322,0.0183,0.1813,99,False,True
B102,Costa Rica→Honduras 1920-2018,B,0.2782,0.7623,0.0,99,True,True
B103,Panama→Honduras 1920-2018,B,0.3313,0.6092,0.0,99,True,True
B104,Cuba→Honduras 1920-2018,B,0.0776,0.1608,0.0,99,True,True
B105,Costa Rica→Panama 1920-2018,B,-0.053,0.0677,0.0093,99,True,True
B106,Costa Rica→Cuba 1920-2018,B,0.2006,0.504,0.0,99,True,True
B107,Panama→Cuba 1906-2018,B,0.1925,0.2926,0.0,113,True,True
B108,Argentina→Brazil 1900-2018,B,-0.4744,0.6793,0.0,119,True,True
B109,Chile→Brazil 1900-2018,B,-0.3934,0.6344,0.0,119,True,True
B110,Uruguay→Brazil 1900-2018,B,-0.4215,0.6533,0.0,119,True,True
B111,Paraguay→Brazil 1939-2018,B,-0.348,0.8727,0.0,80,True,True
B112,Brazil→Bolivia 1900-2018,B,0.4917,0.5996,0.0,119,True,True
B113,Brazil→Peru 1900-2018,B,0.2576,0.3305,0.0,119,True,True
B114,Colombia→Brazil 1900-2018,B,-0.1301,0.2095,0.0,119,True,True
B115,Venezuela→Brazil 1900-2018,B,-0.0188,0.0021,0.6196,119,False,True
B116,Ecuador→Brazil 1900-2018,B,-0.2022,0.5129,0.0,119,True,True
B117,Argentina→Chile 1900-2018,B,-0.081,0.1555,0.0,119,True,True
