id,descripcion,dominio,b,r2,p,n,fuente,significativo
E3_054,Czechia COVID-19 growth phase 2020,E3,1.2775,0.9098,0.0,60,OWID COVID-19 (JHU),True
E3_055,Democratic Republic of Congo COVID-19 growth phase 2020,E3,0.919,0.7863,0.0,60,OWID COVID-19 (JHU),True
E3_056,Denmark COVID-19 growth phase 2020,E3,0.9051,0.8783,0.0,60,OWID COVID-19 (JHU),True
E3_057,Djibouti COVID-19 growth phase 2020,E3,0.8701,0.8637,0.0,60,OWID COVID-19 (JHU),True
E3_058,Dominica COVID-19 growth phase 2020,E3,0.0931,0.6927,0.0,60,OWID COVID-19 (JHU),True
E3_059,Dominican Republic COVID-19 growth phase 2020,E3,1.0606,0.9157,0.0,60,OWID COVID-19 (JHU),True
E3_060,East Timor COVID-19 growth phase 2020,E3,0.6875,0.5846,0.0,60,OWID COVID-19 (JHU),True
E3_061,Ecuador COVID-19 growth phase 2020,E3,1.4428,0.8999,0.0,60,OWID COVID-19 (JHU),True
E3_062,Egypt COVID-19 growth phase 2020,E3,1.4308,0.881,0.0,60,OWID COVID-19 (JHU),True
E3_063,El Salvador COVID-19 growth phase 2020,E3,1.0826,0.8141,0.0,60,OWID COVID-19 (JHU),True
E3_064,Equatorial Guinea COVID-19 growth phase 2020,E3,0.7653,0.8799,0.0,60,OWID COVID-19 (JHU),True
E3_065,Eritrea COVID-19 growth phase 2020,E3,0.2332,0.93,0.0,60,OWID COVID-19 (JHU),True
E3_066,Estonia COVID-19 growth phase 2020,E3,1.295,0.7581,0.0,60,OWID COVID-19 (JHU),True
E3_067,Eswatini COVID-19 growth phase 2020,E3,0.5811,0.8065,0.0,60,OWID COVID-19 (JHU),True
E3_068,Ethiopia COVID-19 growth phase 2020,E3,0.9955,0.6284,0.0,60,OWID COVID-19 (JHU),True
E3_069,European Union (27) COVID-19 growth phase 2020,E3,3.0186,0.9084,0.0,60,OWID COVID-19 (JHU),True
E3_070,Falkland Islands COVID-19 growth phase 2020,E3,0.0665,0.8403,0.0,60,OWID COVID-19 (JHU),True
E3_071,Faroe Islands COVID-19 growth phase 2020,E3,0.197,0.7846,0.0,60,OWID COVID-19 (JHU),True
E3_072,Fiji COVID-19 growth phase 2020,E3,0.9911,0.6604,0.0,60,OWID COVID-19 (JHU),True
E3_073,Finland COVID-19 growth phase 2020,E3,1.2887,0.9218,0.0,60,OWID COVID-19 (JHU),True
E3_074,France COVID-19 growth phase 2020,E3,1.0984,0.9,0.0,60,OWID COVID-19 (JHU),True
E3_075,French Guiana COVID-19 growth phase 2020,E3,0.8174,0.6253,0.0,60,OWID COVID-19 (JHU),True
E3_076,French Polynesia COVID-19 growth phase 2020,E3,0.8961,0.8826,0.0,60,OWID COVID-19 (JHU),True
E3_077,Gabon COVID-19 growth phase 2020,E3,1.2451,0.8463,0.0,60,OWID COVID-19 (JHU),True
E3_078,Gambia COVID-19 growth phase 2020,E3,1.2348,0.8928,0.0,60,OWID COVID-19 (JHU),True
E3_079,Georgia COVID-19 growth phase 2020,E3,0.528,0.9124,0.0,60,OWID COVID-19 (JHU),True
E3_080,Germany COVID-19 growth phase 2020,E3,2.4692,0.9053,0.0,60,OWID COVID-19 (JHU),True
E3_081,Ghana COVID-19 growth phase 2020,E3,1.3155,0.8278,0.0,60,OWID COVID-19 (JHU),True
E3_082,Gibraltar COVID-19 growth phase 2020,E3,0.1215,0.8661,0.0,60,OWID COVID-19 (JHU),True
E3_083,Greece COVID-19 growth phase 2020,E3,0.6612,0.9174,0.0,60,OWID COVID-19 (JHU),True
E3_084,Greenland COVID-19 growth phase 2020,E3,0.4746,0.898,0.0,60,OWID COVID-19 (JHU),True
E3_085,Grenada COVID-19 growth phase 2020,E3,0.0864,0.9073,0.0,60,OWID COVID-19 (JHU),True
E3_086,Guadeloupe COVID-19 growth phase 2020,E3,0.0634,0.9125,0.0,60,OWID COVID-19 (JHU),True
E3_087,Guam COVID-19 growth phase 2020,E3,0.0783,0.6798,0.0,60,OWID COVID-19 (JHU),True
E3_088,Guatemala COVID-19 growth phase 2020,E3,1.2113,0.8028,0.0,60,OWID COVID-19 (JHU),True
E3_089,Guernsey COVID-19 growth phase 2020,E3,0.2155,0.7903,0.0,60,OWID COVID-19 (JHU),True
E3_090,Guinea COVID-19 growth phase 2020,E3,1.1928,0.8899,0.0,60,OWID COVID-19 (JHU),True
E3_091,Guinea-Bissau COVID-19 growth phase 2020,E3,0.5964,0.9172,0.0,60,OWID COVID-19 (JHU),True
E3_092,Guyana COVID-19 growth phase 2020,E3,0.2672,0.7096,0.0,60,OWID COVID-19 (JHU),True
E3_093,Haiti COVID-19 growth phase 2020,E3,1.3519,0.8909,0.0,60,OWID COVID-19 (JHU),True
E3_094,High-income countries COVID-19 growth phase 2020,E3,2.7157,0.7181,0.0,60,OWID COVID-19 (JHU),True
E3_095,Honduras COVID-19 growth phase 2020,E3,0.9051,0.7296,0.0,60,OWID COVID-19 (JHU),True
E3_096,Hungary COVID-19 growth phase 2020,E3,1.1372,0.9222,0.0,60,OWID COVID-19 (JHU),True
E3_097,Iceland COVID-19 growth phase 2020,E3,0.7585,0.8685,0.0,60,OWID COVID-19 (JHU),True
E3_098,India COVID-19 growth phase 2020,E3,2.1582,0.8717,0.0,60,OWID COVID-19 (JHU),True
E3_099,Indonesia COVID-19 growth phase 2020,E3,1.602,0.9192,0.0,60,OWID COVID-19 (JHU),True
E3_100,Iran COVID-19 growth phase 2020,E3,1.6599,0.929,0.0,60,OWID COVID-19 (JHU),True
E3_101,Iraq COVID-19 growth phase 2020,E3,1.0864,0.8991,0.0,60,OWID COVID-19 (JHU),True
E3_102,Ireland COVID-19 growth phase 2020,E3,1.2588,0.9143,0.0,60,OWID COVID-19 (JHU),True
E3_103,Isle of Man COVID-19 growth phase 2020,E3,0.3471,0.8622,0.0,60,OWID COVID-19 (JHU),True
E3_104,Israel COVID-19 growth phase 2020,E3,1.564,0.9086,0.0,60,OWID COVID-19 (JHU),True
E3_105,Italy COVID-19 growth phase 2020,E3,1.8064,0.918,0.0,60,OWID COVID-19 (JHU),True
E3_106,Jamaica COVID-19 growth phase 2020,E3,0.4408,0.9062,0.0,60,OWID COVID-19 (JHU),True
E3_107,Japan COVID-19 growth phase 2020,E3,1.3289,0.7919,0.0,60,OWID COVID-19 (JHU),True
E3_108,Jersey COVID-19 growth phase 2020,E3,0.2307,0.8988,0.0,60,OWID COVID-19 (JHU),True
E3_109,Jordan COVID-19 growth phase 2020,E3,0.2676,0.8818,0.0,60,OWID COVID-19 (JHU),True
E3_110,Kazakhstan COVID-19 growth phase 2020,E3,1.127,0.8671,0.0,60,OWID COVID-19 (JHU),True
