id,descripcion,dominio,region,hub,nodo,trigger,b,r2,r_pearson,p,se_b,ci_lo,ci_hi,dw,n,year_min,year_max,significativo
B001,United Kingdom→France 1900-2018,B,Europa_Occidental,United Kingdom,France,gradual,-0.192,0.4206,-0.6485,0.0,0.0208,-0.2328,-0.1511,0.145,119,1900,2018,True
B002,Germany→United Kingdom 1900-2018,B,Europa_Occidental,Germany,United Kingdom,gradual,0.1947,0.4465,0.6682,0.0,0.02,0.1554,0.234,0.178,119,1900,2018,True
B003,Netherlands→United Kingdom 1900-2018,B,Europa_Occidental,Netherlands,United Kingdom,gradual,0.1472,0.3536,0.5946,0.0,0.0184,0.1112,0.1833,0.191,119,1900,2018,True
B004,Belgium→United Kingdom 1900-2018,B,Europa_Occidental,Belgium,United Kingdom,gradual,0.0942,0.2495,0.4995,0.0,0.0151,0.0646,0.1238,0.144,119,1900,2018,True
B005,Switzerland→United Kingdom 1900-2018,B,Europa_Occidental,Switzerland,United Kingdom,gradual,0.1522,0.5219,0.7224,0.0,0.0135,0.1258,0.1786,0.139,119,1900,2018,True
B006,Austria→United Kingdom 1900-2018,B,Europa_Occidental,Austria,United Kingdom,gradual,0.2022,0.3235,0.5688,0.0,0.027,0.1492,0.2552,0.123,119,1900,2018,True
B007,Italy→United Kingdom 1900-2018,B,Europa_Occidental,Italy,United Kingdom,gradual,0.273,0.5061,0.7114,0.0,0.0249,0.2242,0.3219,0.059,119,1900,2018,True
B008,Spain→United Kingdom 1900-2018,B,Europa_Occidental,Spain,United Kingdom,gradual,0.2569,0.41,0.6403,0.0,0.0285,0.201,0.3127,0.038,119,1900,2018,True
B009,United Kingdom→Portugal 1900-2018,B,Europa_Occidental,United Kingdom,Portugal,gradual,-0.3425,0.571,-0.7557,0.0,0.0274,-0.3963,-0.2887,0.043,119,1900,2018,True
B010,Ireland→United Kingdom 1913-2018,B,Europa_Occidental,Ireland,United Kingdom,gradual,0.2628,0.3606,0.6005,0.0,0.0355,0.1931,0.3324,0.019,99,1913,2018,True
