id,descripcion,dominio,region,hub,nodo,trigger,b,r2,r_pearson,p,se_b,ci_lo,ci_hi,dw,n,year_min,year_max,significativo
B011,Germany→France 1900-2018,B,Europa_Occidental,Germany,France,gradual,0.0027,0.0002,0.0128,0.8897,0.0196,-0.0357,0.0411,0.415,119,1900,2018,False
B012,Netherlands→France 1900-2018,B,Europa_Occidental,Netherlands,France,gradual,-0.0447,0.1924,-0.4386,0.0,0.0085,-0.0613,-0.0281,0.288,119,1900,2018,True
B013,Belgium→France 1900-2018,B,Europa_Occidental,Belgium,France,gradual,-0.0978,0.5046,-0.7103,0.0,0.009,-0.1153,-0.0802,0.298,119,1900,2018,True
B014,Switzerland→France 1900-2018,B,Europa_Occidental,Switzerland,France,gradual,-0.0397,0.0805,-0.2837,0.0018,0.0124,-0.0641,-0.0154,0.186,119,1900,2018,True
B015,Austria→France 1900-2018,B,Europa_Occidental,Austria,France,gradual,0.0102,0.0027,0.0521,0.5734,0.0182,-0.0253,0.0458,0.354,119,1900,2018,False
B016,Italy→France 1900-2018,B,Europa_Occidental,Italy,France,gradual,0.0811,0.3201,0.5658,0.0,0.0109,0.0597,0.1025,0.237,119,1900,2018,True
B017,Spain→France 1900-2018,B,Europa_Occidental,Spain,France,gradual,0.0649,0.0768,0.2771,0.0023,0.0208,0.0241,0.1057,0.142,119,1900,2018,True
B018,France→Portugal 1900-2018,B,Europa_Occidental,France,Portugal,gradual,-0.1505,0.3478,-0.5897,0.0,0.0191,-0.1879,-0.1132,0.141,119,1900,2018,True
B019,Ireland→France 1913-2018,B,Europa_Occidental,Ireland,France,gradual,0.1149,0.0985,0.3139,0.0016,0.0353,0.0458,0.1841,0.046,99,1913,2018,True
B020,Germany→Netherlands 1900-2018,B,Europa_Occidental,Germany,Netherlands,gradual,0.0475,0.0477,0.2184,0.017,0.0196,0.009,0.0859,0.467,119,1900,2018,True
B021,Belgium→Germany 1900-2018,B,Europa_Occidental,Belgium,Germany,gradual,-0.1005,0.2433,-0.4933,0.0,0.0164,-0.1326,-0.0684,0.352,119,1900,2018,True
B022,Switzerland→Germany 1900-2018,B,Europa_Occidental,Switzerland,Germany,gradual,-0.0425,0.054,-0.2323,0.011,0.0164,-0.0747,-0.0102,0.412,119,1900,2018,True
B023,Austria→Germany 1900-2018,B,Europa_Occidental,Austria,Germany,gradual,0.0075,0.0028,0.0526,0.5702,0.0132,-0.0184,0.0334,0.548,119,1900,2018,False
B024,Germany→Italy 1900-2018,B,Europa_Occidental,Germany,Italy,gradual,-0.0783,0.1463,-0.3825,0.0,0.0175,-0.1126,-0.0441,0.388,119,1900,2018,True
B025,Germany→Spain 1900-2018,B,Europa_Occidental,Germany,Spain,gradual,-0.0622,0.0673,-0.2593,0.0044,0.0214,-0.1042,-0.0202,0.202,119,1900,2018,True
B026,Germany→Portugal 1900-2018,B,Europa_Occidental,Germany,Portugal,gradual,-0.1478,0.3209,-0.5665,0.0,0.0199,-0.1868,-0.1088,0.24,119,1900,2018,True
B027,Ireland→Germany 1913-2018,B,Europa_Occidental,Ireland,Germany,gradual,0.0814,0.0611,0.2473,0.0136,0.0324,0.0179,0.1448,0.105,99,1913,2018,True
B028,Belgium→Netherlands 1900-2018,B,Europa_Occidental,Belgium,Netherlands,gradual,-0.053,0.2408,-0.4907,0.0,0.0087,-0.0701,-0.036,0.557,119,1900,2018,True
B029,Switzerland→Netherlands 1900-2018,B,Europa_Occidental,Switzerland,Netherlands,gradual,0.005,0.002,0.0444,0.6319,0.0104,-0.0154,0.0254,0.429,119,1900,2018,False
B030,Austria→Netherlands 1900-2018,B,Europa_Occidental,Austria,Netherlands,gradual,0.055,0.0643,0.2535,0.0054,0.0194,0.017,0.093,0.32,119,1900,2018,True
B031,Netherlands→Italy 1900-2018,B,Europa_Occidental,Netherlands,Italy,gradual,-0.1258,0.3945,-0.6281,0.0,0.0144,-0.1541,-0.0976,0.129,119,1900,2018,True
B032,Spain→Netherlands 1900-2018,B,Europa_Occidental,Spain,Netherlands,gradual,0.1097,0.1988,0.4459,0.0,0.0203,0.0698,0.1495,0.176,119,1900,2018,True
B033,Netherlands→Portugal 1900-2018,B,Europa_Occidental,Netherlands,Portugal,gradual,-0.1953,0.4279,-0.6542,0.0,0.0209,-0.2362,-0.1543,0.145,119,1900,2018,True
B034,Ireland→Netherlands 1913-2018,B,Europa_Occidental,Ireland,Netherlands,gradual,0.1647,0.2446,0.4945,0.0,0.0294,0.1071,0.2223,0.094,99,1913,2018,True
B035,Switzerland→Belgium 1900-2018,B,Europa_Occidental,Switzerland,Belgium,gradual,0.058,0.2874,0.5361,0.0,0.0084,0.0415,0.0746,0.293,119,1900,2018,True
B036,Austria→Belgium 1900-2018,B,Europa_Occidental,Austria,Belgium,gradual,0.108,0.2331,0.4828,0.0,0.0181,0.0725,0.1435,0.311,119,1900,2018,True
B037,Belgium→Italy 1900-2018,B,Europa_Occidental,Belgium,Italy,gradual,-0.1788,0.571,-0.7556,0.0,0.0143,-0.2069,-0.1507,0.166,119,1900,2018,True
B038,Belgium→Spain 1900-2018,B,Europa_Occidental,Belgium,Spain,gradual,-0.1627,0.4049,-0.6363,0.0,0.0182,-0.1984,-0.1269,0.104,119,1900,2018,True
B039,Belgium→Portugal 1900-2018,B,Europa_Occidental,Belgium,Portugal,gradual,-0.2483,0.6276,-0.7922,0.0,0.0177,-0.2829,-0.2136,0.094,119,1900,2018,True
B040,Ireland→Belgium 1913-2018,B,Europa_Occidental,Ireland,Belgium,gradual,0.1844,0.2875,0.5362,0.0,0.0295,0.1266,0.2422,0.027,99,1913,2018,True
B041,Switzerland→Austria 1900-2018,B,Europa_Occidental,Switzerland,Austria,gradual,-0.05,0.0539,-0.2322,0.0111,0.0194,-0.0879,-0.012,0.254,119,1900,2018,True
B042,Switzerland→Italy 1900-2018,B,Europa_Occidental,Switzerland,Italy,gradual,-0.1208,0.3168,-0.5629,0.0,0.0164,-0.153,-0.0887,0.091,119,1900,2018,True
B043,Switzerland→Spain 1900-2018,B,Europa_Occidental,Switzerland,Spain,gradual,-0.1047,0.1879,-0.4335,0.0,0.0201,-0.1441,-0.0652,0.087,119,1900,2018,True
B044,Switzerland→Portugal 1900-2018,B,Europa_Occidental,Switzerland,Portugal,gradual,-0.1903,0.4494,-0.6704,0.0,0.0195,-0.2284,-0.1521,0.072,119,1900,2018,True
B045,Ireland→Switzerland 1913-2018,B,Europa_Occidental,Ireland,Switzerland,gradual,0.1278,0.1709,0.4134,0.0,0.0286,0.0718,0.1839,0.039,99,1913,2018,True
B046,Austria→Italy 1900-2018,B,Europa_Occidental,Austria,Italy,gradual,-0.0708,0.2385,-0.4884,0.0,0.0117,-0.0938,-0.0479,0.562,119,1900,2018,True
B047,Austria→Spain 1900-2018,B,Europa_Occidental,Austria,Spain,gradual,-0.0547,0.0877,-0.2962,0.0011,0.0163,-0.0866,-0.0227,0.347,119,1900,2018,True
B048,Austria→Portugal 1900-2018,B,Europa_Occidental,Austria,Portugal,gradual,-0.1403,0.4199,-0.648,0.0,0.0152,-0.1701,-0.1104,0.405,119,1900,2018,True
B049,Ireland→Austria 1913-2018,B,Europa_Occidental,Ireland,Austria,gradual,0.0275,0.0083,0.0913,0.3688,0.0305,-0.0322,0.0873,0.14,99,1913,2018,False
B050,Spain→Italy 1900-2018,B,Europa_Occidental,Spain,Italy,gradual,-0.0162,0.0085,-0.0924,0.3175,0.0161,-0.0477,0.0154,0.145,119,1900,2018,False
B051,Italy→Portugal 1900-2018,B,Europa_Occidental,Italy,Portugal,gradual,-0.0694,0.184,-0.4289,0.0,0.0135,-0.096,-0.0429,0.186,119,1900,2018,True
B052,Ireland→Italy 1913-2018,B,Europa_Occidental,Ireland,Italy,gradual,0.0005,0.0,0.0016,0.9871,0.0334,-0.0649,0.0659,0.038,99,1913,2018,False
B053,Spain→Portugal 1900-2018,B,Europa_Occidental,Spain,Portugal,gradual,-0.0856,0.3356,-0.5793,0.0,0.0111,-0.1074,-0.0638,0.216,119,1900,2018,True
B054,Ireland→Spain 1913-2018,B,Europa_Occidental,Ireland,Spain,gradual,0.0056,0.0006,0.0253,0.804,0.0226,-0.0387,0.05,0.07,99,1913,2018,False
B055,Ireland→Portugal 1913-2018,B,Europa_Occidental,Ireland,Portugal,gradual,-0.0774,0.0882,-0.2969,0.0028,0.0253,-0.127,-0.0279,0.048,99,1913,2018,True
B056,Norway→Sweden 1900-2018,B,Europa_Nordica,Norway,Sweden,gradual,0.1347,0.1932,0.4396,0.0,0.0254,0.0848,0.1845,0.021,119,1900,2018,True
B057,Denmark→Sweden 1900-2018,B,Europa_Nordica,Denmark,Sweden,gradual,-0.1121,0.6459,-0.8037,0.0,0.0077,-0.1272,-0.0971,0.192,119,1900,2018,True
B058,Finland→Sweden 1900-2018,B,Europa_Nordica,Finland,Sweden,gradual,0.0767,0.2321,0.4818,0.0,0.0129,0.0514,0.1019,0.093,119,1900,2018,True
B059,Norway→Denmark 1900-2018,B,Europa_Nordica,Norway,Denmark,gradual,0.2468,0.4972,0.7051,0.0,0.0229,0.2018,0.2918,0.044,119,1900,2018,True
B060,Norway→Finland 1900-2018,B,Europa_Nordica,Norway,Finland,gradual,0.058,0.0686,0.2619,0.004,0.0198,0.0193,0.0967,0.051,119,1900,2018,True
B061,Denmark→Finland 1900-2018,B,Europa_Nordica,Denmark,Finland,gradual,-0.1888,0.6525,-0.8078,0.0,0.0127,-0.2138,-0.1638,0.132,119,1900,2018,True
B062,Czechia→Poland 1970-2018,B,Europa_Este,Czechia,Poland,gradual,0.0201,0.026,0.1612,0.2684,0.018,-0.0151,0.0553,0.086,49,1970,2018,False
B063,Hungary→Poland 1900-2018,B,Europa_Este,Hungary,Poland,gradual,-0.0428,0.1208,-0.3476,0.0011,0.0127,-0.0676,-0.0179,0.385,85,1900,2018,True
B064,Romania→Poland 1900-2018,B,Europa_Este,Romania,Poland,gradual,0.4294,0.7494,0.8657,0.0,0.0273,0.376,0.4829,0.33,85,1900,2018,True
B065,Bulgaria→Poland 1910-2018,B,Europa_Este,Bulgaria,Poland,gradual,0.0645,0.0884,0.2973,0.0063,0.023,0.0194,0.1096,0.104,83,1910,2018,True
B066,Russia→Poland 1960-2018,B,Europa_Este,Russia,Poland,gradual,-0.0597,0.0936,-0.306,0.0184,0.0246,-0.108,-0.0115,0.105,59,1960,2018,True
B067,Ukraine→Poland 1973-2018,B,Europa_Este,Ukraine,Poland,gradual,-0.3648,0.5836,-0.7639,0.0,0.05,-0.4628,-0.2668,0.15,40,1973,2018,True
B068,Czechia→Hungary 1970-2018,B,Europa_Este,Czechia,Hungary,gradual,0.0455,0.3504,0.592,0.0,0.009,0.0278,0.0631,0.214,49,1970,2018,True
B069,Czechia→Romania 1970-2018,B,Europa_Este,Czechia,Romania,gradual,-0.1326,0.3913,-0.6255,0.0,0.0241,-0.1799,-0.0853,0.083,49,1970,2018,True
B070,Czechia→Bulgaria 1970-2018,B,Europa_Este,Czechia,Bulgaria,gradual,0.1785,0.6742,0.8211,0.0,0.0181,0.143,0.2139,0.143,49,1970,2018,True
B071,Czechia→Russia 1970-2018,B,Europa_Este,Czechia,Russia,gradual,0.1287,0.3478,0.5898,0.0,0.0257,0.0783,0.1791,0.099,49,1970,2018,True
B072,Czechia→Ukraine 1973-2018,B,Europa_Este,Czechia,Ukraine,gradual,0.3258,0.6385,0.7991,0.0,0.0398,0.2478,0.4037,0.15,40,1973,2018,True
B073,Hungary→Romania 1900-2018,B,Europa_Este,Hungary,Romania,gradual,-0.4798,0.6402,-0.8001,0.0,0.0371,-0.5525,-0.4071,0.145,96,1900,2018,True
B074,Hungary→Bulgaria 1910-2018,B,Europa_Este,Hungary,Bulgaria,gradual,-0.1383,0.3808,-0.6171,0.0,0.0186,-0.1747,-0.1018,0.096,92,1910,2018,True
B075,Russia→Hungary 1960-2018,B,Europa_Este,Russia,Hungary,gradual,-0.0178,0.0127,-0.1125,0.3964,0.0208,-0.0585,0.023,0.103,59,1960,2018,False
B076,Hungary→Ukraine 1973-2018,B,Europa_Este,Hungary,Ukraine,gradual,0.3036,0.6025,0.7762,0.0,0.04,0.2252,0.382,0.148,40,1973,2018,True
B077,Bulgaria→Romania 1905-2018,B,Europa_Este,Bulgaria,Romania,gradual,-0.3366,0.4612,-0.6791,0.0,0.0371,-0.4093,-0.2638,0.164,98,1905,2018,True
B078,Russia→Romania 1960-2018,B,Europa_Este,Russia,Romania,gradual,-0.3336,0.8196,-0.9053,0.0,0.0207,-0.3742,-0.2929,0.191,59,1960,2018,True
B079,Ukraine→Romania 1973-2018,B,Europa_Este,Ukraine,Romania,gradual,-0.4408,0.7065,-0.8406,0.0,0.0461,-0.5311,-0.3504,0.144,40,1973,2018,True
B080,Russia→Bulgaria 1960-2018,B,Europa_Este,Russia,Bulgaria,gradual,0.0552,0.2385,0.4884,0.0001,0.0131,0.0296,0.0808,0.258,59,1960,2018,True
B081,Ukraine→Bulgaria 1973-2018,B,Europa_Este,Ukraine,Bulgaria,gradual,-0.1682,0.4523,-0.6725,0.0,0.03,-0.2271,-0.1094,0.2,40,1973,2018,True
B082,Russia→Ukraine 1973-2018,B,Europa_Este,Russia,Ukraine,gradual,0.2199,0.6305,0.7941,0.0,0.0273,0.1663,0.2734,0.121,40,1973,2018,True
B083,Greece→Italy 1900-2018,B,Europa_Sur,Greece,Italy,gradual,0.0004,0.0,0.0025,0.9783,0.0161,-0.0311,0.032,0.4,119,1900,2018,False
B084,Turkey→Italy 1913-2018,B,Europa_Sur,Turkey,Italy,gradual,0.073,0.102,0.3194,0.0013,0.0221,0.0297,0.1163,0.176,98,1913,2018,True
B085,Greece→Spain 1900-2018,B,Europa_Sur,Greece,Spain,gradual,0.0166,0.006,0.0774,0.4027,0.0198,-0.0221,0.0553,0.363,119,1900,2018,False
B086,Spain→Turkey 1913-2018,B,Europa_Sur,Spain,Turkey,gradual,-0.0684,0.0999,-0.3161,0.0015,0.0209,-0.1094,-0.0273,0.274,98,1913,2018,True
B087,Greece→Portugal 1900-2018,B,Europa_Sur,Greece,Portugal,gradual,-0.069,0.0992,-0.3149,0.0005,0.0192,-0.1067,-0.0313,0.33,119,1900,2018,True
B088,Turkey→Portugal 1913-2018,B,Europa_Sur,Turkey,Portugal,gradual,-0.0126,0.0051,-0.0711,0.4864,0.0181,-0.048,0.0228,0.314,98,1913,2018,False
B089,Greece→Turkey 1913-2018,B,Europa_Sur,Greece,Turkey,gradual,-0.0854,0.1037,-0.322,0.0012,0.0256,-0.1355,-0.0352,0.231,98,1913,2018,True
B090,Canada→United States 1900-2018,B,Norteamerica,Canada,United States,gradual,0.1064,0.6824,0.826,0.0,0.0067,0.0933,0.1196,0.324,119,1900,2018,True
B091,United States→Mexico 1900-2018,B,Norteamerica,United States,Mexico,gradual,-0.0933,0.3686,-0.6071,0.0,0.0113,-0.1154,-0.0712,0.184,119,1900,2018,True
B092,Canada→Mexico 1900-2018,B,Norteamerica,Canada,Mexico,gradual,0.0132,0.0123,0.1107,0.2305,0.0109,-0.0082,0.0346,0.273,119,1900,2018,False
B093,Guatemala→Mexico 1920-2018,B,Centroamerica,Guatemala,Mexico,gradual,-0.2729,0.4862,-0.6973,0.0,0.0285,-0.3287,-0.2171,0.09,99,1920,2018,True
B094,Mexico→Honduras 1920-2018,B,Centroamerica,Mexico,Honduras,gradual,0.3827,0.7596,0.8716,0.0,0.0219,0.3399,0.4256,0.117,99,1920,2018,True
B095,Costa Rica→Mexico 1920-2018,B,Centroamerica,Costa Rica,Mexico,gradual,-0.1045,0.4903,-0.7002,0.0,0.0108,-0.1257,-0.0833,0.395,99,1920,2018,True
B096,Panama→Mexico 1906-2018,B,Centroamerica,Panama,Mexico,gradual,-0.1223,0.2534,-0.5034,0.0,0.0199,-0.1614,-0.0832,0.08,113,1906,2018,True
B097,Cuba→Mexico 1902-2018,B,Centroamerica,Cuba,Mexico,gradual,-0.3085,0.5813,-0.7624,0.0,0.0244,-0.3564,-0.2607,0.091,117,1902,2018,True
B098,Guatemala→Honduras 1920-2018,B,Centroamerica,Guatemala,Honduras,gradual,0.1098,0.2701,0.5197,0.0,0.0183,0.0739,0.1458,0.213,99,1920,2018,True
B099,Costa Rica→Guatemala 1920-2018,B,Centroamerica,Costa Rica,Guatemala,gradual,0.1684,0.3547,0.5955,0.0,0.0231,0.1232,0.2136,0.168,99,1920,2018,True
B100,Panama→Guatemala 1920-2018,B,Centroamerica,Panama,Guatemala,gradual,0.2214,0.2874,0.5361,0.0,0.0354,0.152,0.2908,0.074,99,1920,2018,True
B101,Guatemala→Cuba 1920-2018,B,Centroamerica,Guatemala,Cuba,gradual,0.0322,0.0183,0.1355,0.1813,0.0239,-0.0147,0.0791,0.145,99,1920,2018,False
B102,Costa Rica→Honduras 1920-2018,B,Centroamerica,Costa Rica,Honduras,gradual,0.2782,0.7623,0.8731,0.0,0.0158,0.2473,0.3091,0.23,99,1920,2018,True
B103,Panama→Honduras 1920-2018,B,Centroamerica,Panama,Honduras,gradual,0.3313,0.6092,0.7805,0.0,0.0269,0.2785,0.3841,0.083,99,1920,2018,True
B104,Cuba→Honduras 1920-2018,B,Centroamerica,Cuba,Honduras,gradual,0.0776,0.1608,0.401,0.0,0.018,0.0423,0.1129,0.236,99,1920,2018,True
B105,Costa Rica→Panama 1920-2018,B,Centroamerica,Costa Rica,Panama,gradual,-0.053,0.0677,-0.2602,0.0093,0.02,-0.0922,-0.0139,0.127,99,1920,2018,True
B106,Costa Rica→Cuba 1920-2018,B,Centroamerica,Costa Rica,Cuba,gradual,0.2006,0.504,0.7099,0.0,0.0202,0.161,0.2402,0.234,99,1920,2018,True
B107,Panama→Cuba 1906-2018,B,Centroamerica,Panama,Cuba,gradual,0.1925,0.2926,0.5409,0.0,0.0284,0.1368,0.2482,0.079,113,1906,2018,True
B108,Argentina→Brazil 1900-2018,B,Sudamerica,Argentina,Brazil,gradual,-0.4744,0.6793,-0.8242,0.0,0.0301,-0.5334,-0.4153,0.055,119,1900,2018,True
B109,Chile→Brazil 1900-2018,B,Sudamerica,Chile,Brazil,gradual,-0.3934,0.6344,-0.7965,0.0,0.0276,-0.4475,-0.3393,0.094,119,1900,2018,True
B110,Uruguay→Brazil 1900-2018,B,Sudamerica,Uruguay,Brazil,gradual,-0.4215,0.6533,-0.8082,0.0,0.0284,-0.4772,-0.3659,0.085,119,1900,2018,True
B111,Paraguay→Brazil 1939-2018,B,Sudamerica,Paraguay,Brazil,gradual,-0.348,0.8727,-0.9342,0.0,0.0151,-0.3775,-0.3185,0.234,80,1939,2018,True
B112,Brazil→Bolivia 1900-2018,B,Sudamerica,Brazil,Bolivia,gradual,0.4917,0.5996,0.7744,0.0,0.0371,0.4189,0.5645,0.028,119,1900,2018,True
B113,Brazil→Peru 1900-2018,B,Sudamerica,Brazil,Peru,gradual,0.2576,0.3305,0.5749,0.0,0.0339,0.1912,0.3241,0.029,119,1900,2018,True
B114,Colombia→Brazil 1900-2018,B,Sudamerica,Colombia,Brazil,gradual,-0.1301,0.2095,-0.4578,0.0,0.0234,-0.1759,-0.0843,0.03,119,1900,2018,True
B115,Venezuela→Brazil 1900-2018,B,Sudamerica,Venezuela,Brazil,gradual,-0.0188,0.0021,-0.046,0.6196,0.0378,-0.093,0.0553,0.035,119,1900,2018,False
B116,Ecuador→Brazil 1900-2018,B,Sudamerica,Ecuador,Brazil,gradual,-0.2022,0.5129,-0.7162,0.0,0.0182,-0.2379,-0.1665,0.06,119,1900,2018,True
B117,Argentina→Chile 1900-2018,B,Sudamerica,Argentina,Chile,gradual,-0.081,0.1555,-0.3944,0.0,0.0174,-0.1152,-0.0468,0.203,119,1900,2018,True
B118,Argentina→Uruguay 1900-2018,B,Sudamerica,Argentina,Uruguay,gradual,-0.0528,0.136,-0.3688,0.0,0.0123,-0.0769,-0.0287,0.357,119,1900,2018,True
B119,Argentina→Paraguay 1939-2018,B,Sudamerica,Argentina,Paraguay,gradual,-0.0598,0.0635,-0.252,0.0241,0.026,-0.1107,-0.0088,0.115,80,1939,2018,True
B120,Argentina→Bolivia 1900-2018,B,Sudamerica,Argentina,Bolivia,gradual,0.0173,0.0179,0.1338,0.147,0.0119,-0.0059,0.0406,0.228,119,1900,2018,False
B121,Argentina→Peru 1900-2018,B,Sudamerica,Argentina,Peru,gradual,-0.2167,0.7091,-0.8421,0.0,0.0128,-0.2419,-0.1916,0.206,119,1900,2018,True
B122,Argentina→Colombia 1900-2018,B,Sudamerica,Argentina,Colombia,gradual,-0.3442,0.8247,-0.9081,0.0,0.0147,-0.373,-0.3155,0.173,119,1900,2018,True
B123,Argentina→Venezuela 1900-2018,B,Sudamerica,Argentina,Venezuela,gradual,-0.4555,0.6239,-0.7899,0.0,0.0327,-0.5196,-0.3914,0.073,119,1900,2018,True
B124,Argentina→Ecuador 1900-2018,B,Sudamerica,Argentina,Ecuador,gradual,-0.2721,0.7459,-0.8637,0.0,0.0147,-0.3009,-0.2434,0.162,119,1900,2018,True
B125,Uruguay→Chile 1900-2018,B,Sudamerica,Uruguay,Chile,gradual,-0.0282,0.0324,-0.1801,0.05,0.0142,-0.056,-0.0003,0.385,119,1900,2018,False
B126,Chile→Paraguay 1939-2018,B,Sudamerica,Chile,Paraguay,gradual,0.0475,0.0469,0.2165,0.0537,0.0243,-0.0,0.0951,0.093,80,1939,2018,False
B127,Chile→Bolivia 1900-2018,B,Sudamerica,Chile,Bolivia,gradual,0.0983,0.1478,0.3844,0.0,0.0218,0.0555,0.1411,0.099,119,1900,2018,True
B128,Chile→Peru 1900-2018,B,Sudamerica,Chile,Peru,gradual,-0.1357,0.2147,-0.4634,0.0,0.024,-0.1828,-0.0887,0.094,119,1900,2018,True
B129,Chile→Colombia 1900-2018,B,Sudamerica,Chile,Colombia,gradual,-0.2632,0.6751,-0.8216,0.0,0.0169,-0.2963,-0.2301,0.219,119,1900,2018,True
B130,Venezuela→Chile 1900-2018,B,Sudamerica,Venezuela,Chile,gradual,0.3746,0.4183,0.6468,0.0,0.0408,0.2945,0.4546,0.058,119,1900,2018,True
B131,Chile→Ecuador 1900-2018,B,Sudamerica,Chile,Ecuador,gradual,-0.1912,0.4935,-0.7025,0.0,0.0179,-0.2263,-0.1561,0.192,119,1900,2018,True
B132,Uruguay→Paraguay 1939-2018,B,Sudamerica,Uruguay,Paraguay,gradual,-0.0145,0.0048,-0.0696,0.5394,0.0235,-0.0605,0.0315,0.092,80,1939,2018,False
B133,Uruguay→Bolivia 1900-2018,B,Sudamerica,Uruguay,Bolivia,gradual,0.0702,0.1326,0.3641,0.0,0.0166,0.0376,0.1027,0.17,119,1900,2018,True
B134,Uruguay→Peru 1900-2018,B,Sudamerica,Uruguay,Peru,gradual,-0.1639,0.4275,-0.6538,0.0,0.0175,-0.1983,-0.1295,0.166,119,1900,2018,True
B135,Uruguay→Colombia 1900-2018,B,Sudamerica,Uruguay,Colombia,gradual,-0.2914,0.8091,-0.8995,0.0,0.0131,-0.317,-0.2658,0.312,119,1900,2018,True
B136,Uruguay→Venezuela 1900-2018,B,Sudamerica,Uruguay,Venezuela,gradual,-0.4027,0.5483,-0.7404,0.0,0.0338,-0.469,-0.3365,0.089,119,1900,2018,True
B137,Uruguay→Ecuador 1900-2018,B,Sudamerica,Uruguay,Ecuador,gradual,-0.2193,0.678,-0.8234,0.0,0.014,-0.2467,-0.1919,0.289,119,1900,2018,True
B138,Paraguay→Bolivia 1939-2018,B,Sudamerica,Paraguay,Bolivia,gradual,0.1585,0.3765,0.6136,0.0,0.0231,0.1132,0.2037,0.104,80,1939,2018,True
B139,Paraguay→Peru 1939-2018,B,Sudamerica,Paraguay,Peru,gradual,0.0248,0.0074,0.0859,0.4488,0.0326,-0.0391,0.0887,0.054,80,1939,2018,False
B140,Paraguay→Colombia 1939-2018,B,Sudamerica,Paraguay,Colombia,gradual,-0.0899,0.4023,-0.6343,0.0,0.0124,-0.1143,-0.0656,0.196,80,1939,2018,True
B141,Venezuela→Paraguay 1939-2018,B,Sudamerica,Venezuela,Paraguay,gradual,0.0163,0.0015,0.0389,0.7318,0.0475,-0.0768,0.1094,0.055,80,1939,2018,False
B142,Paraguay→Ecuador 1939-2018,B,Sudamerica,Paraguay,Ecuador,gradual,-0.1335,0.4024,-0.6343,0.0,0.0184,-0.1696,-0.0974,0.133,80,1939,2018,True
B143,Bolivia→Peru 1900-2018,B,Sudamerica,Bolivia,Peru,gradual,-0.2341,0.7047,-0.8395,0.0,0.014,-0.2615,-0.2066,0.122,119,1900,2018,True
B144,Colombia→Bolivia 1900-2018,B,Sudamerica,Colombia,Bolivia,gradual,0.3616,0.7822,0.8844,0.0,0.0176,0.327,0.3961,0.085,119,1900,2018,True
B145,Venezuela→Bolivia 1900-2018,B,Sudamerica,Venezuela,Bolivia,gradual,0.4729,0.5968,0.7726,0.0,0.0359,0.4024,0.5433,0.056,119,1900,2018,True
B146,Ecuador→Bolivia 1900-2018,B,Sudamerica,Ecuador,Bolivia,gradual,0.2895,0.623,0.7893,0.0,0.0208,0.2487,0.3303,0.05,119,1900,2018,True
B147,Colombia→Peru 1900-2018,B,Sudamerica,Colombia,Peru,gradual,0.1275,0.2968,0.5448,0.0,0.0181,0.0919,0.1631,0.074,119,1900,2018,True
B148,Venezuela→Peru 1900-2018,B,Sudamerica,Venezuela,Peru,gradual,0.2388,0.3537,0.5947,0.0,0.0298,0.1803,0.2973,0.071,119,1900,2018,True
B149,Ecuador→Peru 1900-2018,B,Sudamerica,Ecuador,Peru,gradual,0.0554,0.0684,0.2615,0.0041,0.0189,0.0184,0.0925,0.078,119,1900,2018,True
