nodo,a_i,b_i,r2,p,sig,tipo,w_ij_2022,ratio_1940,ratio_2022
Tlaxcala,2.1203,0.147,0.6,0.022,*,Gradual,216.8,2.38,4.17
Chiapas,2.3784,0.2287,0.839,0.0012,**,Gradual,241.3,2.63,6.67
Oaxaca,2.3217,0.1762,0.791,0.0021,**,Gradual,226.5,2.5,4.76
Guerrero,2.1202,0.1758,0.808,0.0017,**,Gradual,221.0,2.27,4.35
Veracruz,1.6073,0.1811,0.719,0.0078,**,Gradual,210.4,1.82,3.85
Puebla,1.7626,0.1155,0.653,0.0154,*,Gradual,190.6,1.92,3.03
Querétaro,2.8595,-0.1553,0.782,0.0033,**,Convergencia,86.5,2.63,1.43
Nuevo León,1.3977,-0.0579,0.935,0.0001,***,Convergencia,16.8,1.39,1.06
